City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Arlit,61,NE,1632287522,17,18.7369,7.3853,86.45,9.33
Hithadhoo,98,MV,1632287522,76,-0.6,73.0833,82.9,15.05
Rikitea,0,PF,1632287523,72,-23.1203,-134.9692,73.85,15.32
Chokurdakh,97,RU,1632287523,54,70.6333,147.9167,38.93,9.28
Imbituba,100,BR,1632287524,75,-28.24,-48.6703,58.89,12.35
Albany,100,US,1632287524,90,42.6001,-73.9662,64.31,4.94
Severo-Kuril'sk,83,RU,1632287524,75,50.6789,156.125,51.91,11.12
Kapaa,40,US,1632287525,74,22.0752,-159.319,82.38,5.01
Avarua,40,CK,1632287525,73,-21.2078,-159.775,77.05,3.44
Codrington,69,AU,1632287525,69,-38.2667,141.9667,60.39,15.19
New Norfolk,11,AU,1632287526,47,-42.7826,147.0587,72.75,5.99
Jacareacanga,93,BR,1632287526,55,-6.2222,-57.7528,76.03,1.52
Port Hardy,100,CA,1632287527,99,50.6996,-127.4199,53.44,5.14
Naze,93,JP,1632287527,69,28.3667,129.4833,82.24,7.09
Mahébourg,10,MU,1632287527,58,-20.4081,57.7,75.25,13.85
San Vicente,100,AR,1632287528,78,-26.6167,-54.1333,53.67,6.44
Banyo,100,CM,1632287528,99,6.75,11.8167,65.26,1.61
Mankono,100,CI,1632287529,97,8.0586,-6.1897,70.18,3.76
Kiryat Gat,0,IL,1632287529,100,31.61,34.7642,78.4,4.9
Longyearbyen,40,SJ,1632287530,70,78.2186,15.6401,40.84,18.41
Souillac,9,MU,1632287530,61,-20.5167,57.5167,75.36,13.18
Maningrida,61,AU,1632287530,25,-12.0667,134.2667,92.98,13.2
Hermanus,2,ZA,1632287531,84,-34.4187,19.2345,52.9,13.65
Qaanaaq,0,GL,1632287531,70,77.484,-69.3632,8.13,9.24
Geraldton,0,AU,1632287532,8,-28.7667,114.6,90.01,5.75
Shimoda,65,JP,1632287532,74,34.6667,138.95,82.26,10.76
Jamestown,90,US,1632287431,98,42.097,-79.2353,67.59,5.99
Norman Wells,83,CA,1632287533,83,65.282,-126.8329,38.21,7.2
Isangel,80,VU,1632287533,69,-19.55,169.2667,78.55,7.43
Kyren,100,RU,1632287533,81,51.6828,102.1408,43.25,3.91
Mumford,100,GH,1632287534,90,5.2618,-0.759,75.65,8.21
Tiksi,100,RU,1632287534,74,71.6872,128.8694,36.25,5.97
Saint George,1,US,1632287535,22,37.1041,-113.5841,73.99,0.0
Oga,43,IT,1632287535,63,46.4631,10.347,43.68,5.3
Barrow,75,US,1632287473,80,71.2906,-156.7887,30.22,14.97
Laguna,1,US,1632287536,49,38.421,-121.4238,82.24,0.0
Kamina,35,CD,1632287536,26,-8.7386,24.9906,68.86,4.81
Matamoros,95,MX,1632287536,71,25.5333,-103.25,69.42,10.51
Atuona,8,PF,1632287537,74,-9.8,-139.0333,78.06,20.51
Port Alfred,1,ZA,1632287537,70,-33.5906,26.891,57.69,9.22
Assaré,12,BR,1632287538,58,-6.8744,-39.875,73.35,3.62
Hasaki,85,JP,1632287538,79,35.7333,140.8333,84.6,18.34
Bluff,12,NZ,1632287538,69,-46.6,168.3333,53.8,15.9
Pevek,99,RU,1632287539,72,69.7008,170.3133,28.26,11.14
Thompson,100,CA,1632287539,74,55.7435,-97.8558,41.23,5.06
Sambava,9,MG,1632287540,67,-14.2667,50.1667,74.08,10.67
Windhoek,3,NA,1632287540,18,-22.5594,17.0832,62.11,3.0
Ostrovnoy,2,RU,1632287540,78,68.0531,39.5131,37.67,13.47
Westport,90,US,1632287322,94,41.1415,-73.3579,73.15,3.0
Tegul'det,100,RU,1632287541,98,57.3064,88.1667,35.56,5.99
Faya,81,SA,1632287541,33,18.3851,42.4509,66.72,7.76
Cherskiy,100,RU,1632287542,44,68.75,161.3,36.03,8.08
Naryan-Mar,55,RU,1632287542,77,67.6713,53.087,40.68,5.97
Shelburne,100,CA,1632287543,98,44.0787,-80.2041,64.76,2.73
Hilo,90,US,1632287532,88,19.7297,-155.09,74.8,8.05
Ponta do Sol,100,PT,1632287543,71,32.6667,-17.1,72.23,7.23
Puerto Ayora,35,EC,1632287543,88,-0.7393,-90.3518,68.27,7.94
Madera,0,US,1632287544,18,37.1666,-119.8343,80.42,6.15
Barra de Tecoanapa,35,MX,1632287544,84,16.5167,-98.75,79.56,4.21
Ayan,15,RU,1632287545,51,56.45,138.1667,52.74,6.02
Mar del Plata,20,AR,1632287480,100,-38.0023,-57.5575,39.22,3.44
Busselton,0,AU,1632287545,54,-33.65,115.3333,81.05,5.32
Khasan,56,RU,1632287546,67,42.4308,130.6434,71.74,11.48
Saint Paul Harbor,1,US,1632287546,34,57.79,-152.4072,45.91,16.11
Maceió,40,BR,1632287546,100,-9.6658,-35.7353,72.84,3.44
Punta Arenas,0,CL,1632287547,87,-53.15,-70.9167,46.51,3.44
Mataura,8,NZ,1632287547,57,-46.1927,168.8643,53.47,4.14
Ribeira Grande,24,PT,1632287548,79,38.5167,-28.7,71.01,13.73
Manadhoo,22,MV,1632287548,76,5.7667,73.3833,83.73,16.75
Kalmunai,70,LK,1632287548,60,7.4167,81.8167,87.71,4.05
Salalah,20,OM,1632287549,70,17.0151,54.0924,84.29,5.75
Togur,73,RU,1632287549,72,58.3631,82.8265,38.25,4.68
Iberia,75,US,1632287549,88,29.9502,-91.7507,78.96,21.85
Sinop Province,100,TR,1632287550,93,41.7711,34.8709,52.23,4.63
Moindou,94,NC,1632287550,64,-21.6924,165.677,78.75,10.65
Hobart,20,AU,1632287356,46,-42.8794,147.3294,73.11,14.97
East London,21,ZA,1632287551,66,-33.0153,27.9116,57.07,6.49
San Miguel de Tucumán,75,AR,1632287551,94,-26.8241,-65.2226,57.2,0.0
Lodja,88,CD,1632287552,86,-3.4833,23.4333,71.55,1.79
Abaza,100,RU,1632287553,45,52.655,90.0928,47.17,5.39
Provideniya,40,RU,1632287554,60,64.3833,-173.3,35.71,8.95
Klaksvík,75,FO,1632287554,74,62.2266,-6.589,49.12,36.55
São Filipe,8,CV,1632287554,81,14.8961,-24.4956,78.57,9.01
Loíza,40,PR,1632287555,89,18.4313,-65.8802,80.58,5.75
Yantal',88,RU,1632287555,73,56.8471,105.2542,44.4,9.1
Tasiilaq,35,GL,1632287556,54,65.6145,-37.6368,32.16,8.86
Sardulgarh,84,IN,1632287556,55,29.7,75.25,90.07,9.06
Minzhu,100,CN,1632287557,97,43.7286,127.3447,54.59,6.2
Mutsu,63,JP,1632287557,70,41.2894,141.2169,74.12,5.82
Hirado,0,JP,1632287557,70,33.3597,129.5531,77.38,10.96
Cape Town,1,ZA,1632287558,67,-33.9258,18.4232,53.11,5.48
Nuuk,90,GL,1632287558,74,64.1835,-51.7216,32.61,11.5
Hofn,100,IS,1632287558,62,64.2539,-15.2082,43.7,11.16
Wabag,99,PG,1632287559,85,-5.4781,143.7021,63.5,4.03
Butaritari,91,KI,1632287559,73,3.0707,172.7902,83.19,12.95
Sørland,100,NO,1632287560,90,67.667,12.6934,51.87,51.34
Saint-Philippe,39,RE,1632287560,68,-21.3585,55.7679,74.79,8.84
Talnakh,27,RU,1632287561,66,69.4865,88.3972,37.6,1.07
Beringovskiy,100,RU,1632287561,71,63.05,179.3167,37.17,9.28
George Town,20,MY,1632287561,70,5.4112,100.3354,87.73,8.05
Lengshuijiang,0,CN,1632287562,35,27.6881,111.4294,93.9,3.58
Iwanai,100,JP,1632287562,96,42.9744,140.5089,66.06,7.9
Tura,100,IN,1632287563,78,25.5198,90.2201,78.04,0.74
São José da Coroa Grande,53,BR,1632287563,84,-8.8978,-35.1478,74.43,3.76
